epoch,train_loss,val_loss,train_mae,val_mae,lr,train_mae_bin_0,val_mae_bin_0,train_count_bin_0,val_count_bin_0,train_mae_bin_1,val_mae_bin_1,train_count_bin_1,val_count_bin_1,train_mae_bin_2,val_mae_bin_2,train_count_bin_2,val_count_bin_2,train_mae_bin_3,val_mae_bin_3,train_count_bin_3,val_count_bin_3,train_mae_bin_4,val_mae_bin_4,train_count_bin_4,val_count_bin_4
15,0.0089470155117324,0.0075768069964391145,0.0007786023386395206,0.002963421979839348,0.0009455032620941839,0.018314025941972942,0.018279430871794684,3644,4025,0.00037062433195113125,0.0015654214579442992,70815,16924,4.3781031623755216e-05,6.059363766868127e-05,47435,12223,0.00021570190671821887,0.0007947330201170243,221,369,0.0007366612861852717,0.00033933295832517054,655,650
16,0.008945397794991952,0.007580644124864084,0.0007786559470181007,0.0029623396279489463,0.0009381533400219318,0.01831415885218619,0.01829241768358657,3644,4025,0.00037003117535736225,0.0015629657643771886,70815,16924,4.43271562646844e-05,5.79021333396489e-05,47435,12223,0.00020289396216533972,0.0007334328322405713,221,369,0.0007748705347472173,0.0003513310566687813,655,650
17,0.009043479278580058,0.007583877420526681,0.0007775319318389939,0.0029628548344571085,0.0009303710135019719,0.018310745095151234,0.018295196494700745,3644,4025,0.00036893545082031633,0.0015633604606978832,70815,16924,4.3767984157830246e-05,5.790472794506264e-05,47435,12223,0.00020395715979264515,0.000746869050629808,221,369,0.0007417816943707849,0.00034327215443436914,655,650
18,0.008992217402064556,0.0075958116168837134,0.0007805662973152535,0.0029666635113828983,0.0009221639627510076,0.018319704625991317,0.018311769185784442,3644,4025,0.00037350890410478853,0.0015680020858085024,70815,16924,4.41599436656936e-05,5.865319370006913e-05,47435,12223,0.00020304169180951549,0.0006421484822690674,221,369,0.0007381498318253074,0.0003655125863420276,655,650
19,0.009006790007897022,0.007590126578170036,0.000780306806491391,0.0029707694760528667,0.000913540287137281,0.018315248883810583,0.018283835964173264,3644,4025,0.00037321645726812045,0.0015671783766143122,70815,16924,4.420959892781587e-05,7.395124652165599e-05,47435,12223,0.00020521099164126424,0.0008039564415380273,221,369,0.000741591131439493,0.0003963795637425322,655,650
20,0.008981087215041487,0.007577940952050101,0.0007780385853042159,0.0029615812742276606,0.0009045084971874739,0.018312372192026742,0.018287897808766513,3644,4025,0.0003691835196981951,0.0015637119591199629,70815,16924,4.4392572147704964e-05,5.898444018099774e-05,47435,12223,0.00021628918389213477,0.0006204878523403799,221,369,0.0007514814815197615,0.0003637661283405928,655,650
21,0.00891896914986868,0.007594189958282926,0.0007780591096089775,0.002966797377359254,0.0008950775061878453,0.01831654933692786,0.018301681518924903,3644,4025,0.00036952102661753005,0.0015670615199285284,70815,16924,4.384423040537904e-05,5.773439544267452e-05,47435,12223,0.00020230549125699326,0.0008147799909265641,221,369,0.0007400293714176457,0.0003787844448995132,655,650
22,0.0090450818728557,0.00757898437133362,0.0007793558024828395,0.0029616355395610415,0.0008852566213878948,0.018319596081857945,0.018289716553799115,3644,4025,0.0003707242576295065,0.001562335224831051,70815,16924,4.46259355822708e-05,6.105093187438898e-05,47435,12223,0.00020441614206363046,0.0006333101312626724,221,369,0.0007787147568768617,0.00034506594905486473,655,650
23,0.00901935449647012,0.0075857499081417624,0.0007768839673143934,0.0029622509849830817,0.0008750555348152299,0.018311451795200998,0.018297926343005637,3644,4025,0.0003678443864614295,0.001562907383611768,70815,16924,4.374463206704475e-05,5.69600040131171e-05,47435,12223,0.00020205290688226016,0.000674900292602827,221,369,0.0007366927342529018,0.0003650219838779706,655,650
24,0.00910098217201291,0.007591566162632491,0.0007779819006661654,0.0029654338200369615,0.0008644843137107058,0.018312867942801153,0.01830375547734847,3644,4025,0.00036995511947250566,0.001571991657341376,70815,16924,4.321544699664777e-05,5.870861453587639e-05,47435,12223,0.00020162935508441442,0.000501935868147006,221,369,0.0007448713955982523,0.00032513068666538365,655,650
25,0.008962821770873453,0.007574577225930385,0.0007757314396134956,0.0029604610462976937,0.0008535533905932738,0.01830230519138407,0.018287054416000474,3644,4025,0.00036660294761101483,0.0015624174558484737,70815,16924,4.3519148410671855e-05,6.0916541275167866e-05,47435,12223,0.0002009309544156904,0.0004780622926615759,221,369,0.0007224801978958817,0.0003882911504031374,655,650
26,0.009074093533574855,0.007597866151472146,0.0007765718324161799,0.00296506745141919,0.0008422735529643445,0.018307170845690154,0.018311622980403605,3644,4025,0.0003678876645395521,0.0015630705894115176,70815,16924,4.310907945001793e-05,6.026055580408022e-05,47435,12223,0.00020922387762988679,0.0006235919567913468,221,369,0.0007409322100428452,0.0003911723826940243,655,650
