epoch,train_loss,val_loss,train_mae,val_mae,lr,train_mae_bin_0,val_mae_bin_0,train_count_bin_0,val_count_bin_0,train_mae_bin_1,val_mae_bin_1,train_count_bin_1,val_count_bin_1,train_mae_bin_2,val_mae_bin_2,train_count_bin_2,val_count_bin_2,train_mae_bin_3,val_mae_bin_3,train_count_bin_3,val_count_bin_3,train_mae_bin_4,val_mae_bin_4,train_count_bin_4,val_count_bin_4
1,0.009205573443318443,0.007639898138806726,0.000856742821135042,0.002991335146968877,0.0009997532801828658,0.018345972452921366,0.01826206853023227,3644,4025,0.00042380149271757395,0.0015939444428388712,70815,16924,0.00015843229097777238,0.00011131298773584714,47435,12223,0.0004067222780165604,0.0006904814183395886,221,369,0.0010885011884077267,0.0002778947643505839,655,650
2,0.009032338331780077,0.007590350115349709,0.0007911024684058147,0.0029560063188014923,0.0009990133642141358,0.01831423380875011,0.01828006976232025,3644,4025,0.0003747894920671657,0.0015592959967788654,70815,16924,6.856321841049843e-05,5.9707734733553284e-05,47435,12223,0.0002499835315834451,0.000382344531588481,221,369,0.0008218650718026071,0.0003555573895573616,655,650
3,0.009009381812602923,0.0075832250792915515,0.0007827848826807835,0.0029663737780196583,0.00099778098230154,0.01831174099871032,0.018277334511650273,3644,4025,0.00036908549604175504,0.001573821761056074,70815,16924,5.599382336328892e-05,6.43966848540788e-05,47435,12223,0.0002111006971346994,0.0006047663041709123,221,369,0.0008168038693116711,0.00032519308241227496,655,650
4,0.0090436420566345,0.007597586542335901,0.0007800323666392218,0.0029749832623587958,0.000996057350657239,0.018291631417295822,0.018278280158775934,3644,4025,0.00036885063815386845,0.0015696920678846997,70815,16924,5.0747059964351735e-05,5.9481325604958437e-05,47435,12223,0.00021222409134379343,0.0013554599426758064,221,369,0.0008177444966197127,0.0005460031305511411,655,650
5,0.008943862614708203,0.007578278196987337,0.0007777216441771099,0.0029579429044600493,0.0009938441702975688,0.01829950229628386,0.018296459158940345,3644,4025,0.00036818564123264493,0.0015606838419670885,70815,16924,4.537123070089919e-05,5.337809471223465e-05,47435,12223,0.0002132401407822204,0.00045670998879161924,221,369,0.0008017150716072318,0.00039661270673744956,655,650
6,0.009022528247811317,0.007561872487320282,0.000777880687456018,0.002957069663388039,0.0009911436253643444,0.018322342435084207,0.0182737090100783,3644,4025,0.000367355252470652,0.0015607167253883962,70815,16924,4.5183803439018594e-05,5.9063638669493634e-05,47435,12223,0.00020738503490353417,0.00043680265752963347,221,369,0.0008097838561311861,0.00039508588755360016,655,650
7,0.008928069475794862,0.0075752613476709856,0.0007776785286925833,0.002959067657593447,0.0009879583809693736,0.018307855514699337,0.018286735759758803,3644,4025,0.0003681066433193873,0.0015633869993964477,70815,16924,4.5247532768715716e-05,5.676720962952419e-05,47435,12223,0.00020500802738793254,0.0004406885211535813,221,369,0.000767438157236862,0.000390968679342992,655,650
8,0.009033110762551774,0.007588910480900398,0.0007778788596441973,0.002966832294861791,0.0009842915805643154,0.018314125689249932,0.018289414738646204,3644,4025,0.00036836271137427866,0.001566622782232956,70815,16924,4.4568320660269954e-05,7.261783148229956e-05,47435,12223,0.00020626625538001898,0.000431243079229571,221,369,0.0007911830932889574,0.00040585969180728383,655,650
9,0.00906081775239494,0.007579142320060199,0.0007768442038135795,0.0029617323339215435,0.0009801468428384714,0.01830881566980144,0.01828133405735774,3644,4025,0.0003666582791193272,0.0015616532346206266,70815,16924,4.515641831015987e-05,6.134036103095622e-05,47435,12223,0.0002238005088582715,0.0006682809991941871,221,369,0.0007625619603841048,0.0003945276212806885,655,650
10,0.00898270598126317,0.007577949629477471,0.0007777127634394521,0.0029624542138774164,0.0009755282581475767,0.018322680305621078,0.018283150901335365,3644,4025,0.0003671529501065541,0.0015641282331674187,70815,16924,4.516556796237797e-05,6.321723228395054e-05,47435,12223,0.00027590395633960395,0.0005823996635062398,221,369,0.0007765024001133594,0.000370266680032588,655,650
11,0.009070933328574443,0.0075805655706472855,0.0007775883295427189,0.002961085873051048,0.0009704403844771127,0.018304580369504907,0.018292031505648395,3644,4025,0.00036833070986922286,0.0015632640553102184,70815,16924,4.491073636598163e-05,5.811581882561937e-05,47435,12223,0.00027778447803931115,0.0006017204404282977,221,369,0.0007443634550375859,0.0003507615726154584,655,650
12,0.008983078106559806,0.0075795198059075124,0.0007784029061426155,0.002960604841789217,0.0009648882429441257,0.018316129853100563,0.01829358149111641,3644,4025,0.0003698266008634059,0.0015610743440967537,70815,16924,4.414617151807156e-05,6.400605718593258e-05,47435,12223,0.00020486211918591525,0.0004679140717098439,221,369,0.0007510358833384394,0.0003380706963630823,655,650
13,0.008986585953701597,0.007583155401682182,0.0007796306650268385,0.0029637321265250814,0.0009588773128419905,0.018312599835287994,0.018295246027641415,3644,4025,0.0003717755985333073,0.0015637797824876647,70815,16924,4.434684918611691e-05,6.511327981641637e-05,47435,12223,0.0002029248050484349,0.0005053464092738891,221,369,0.0007762061212447789,0.0003797509499753897,655,650
14,0.009019490664620707,0.007575128231017182,0.0007792849142519413,0.0029606525395497146,0.0009524135262330098,0.018313704696488062,0.018285094897569337,3644,4025,0.0003700902005891157,0.0015627088276226806,70815,16924,4.5368042742409706e-05,5.8459031552521965e-05,47435,12223,0.00020917730392889242,0.0006475079505181263,221,369,0.0008114050701882634,0.000352930139678602,655,650
