epoch,train_loss,val_loss,train_mae,val_mae,lr,train_mae_bin_0,val_mae_bin_0,train_count_bin_0,val_count_bin_0,train_mae_bin_1,val_mae_bin_1,train_count_bin_1,val_count_bin_1,train_mae_bin_2,val_mae_bin_2,train_count_bin_2,val_count_bin_2,train_mae_bin_3,val_mae_bin_3,train_count_bin_3,val_count_bin_3
1,0.013419768356688283,0.0042555387586191845,0.001267618799719266,0.0017090937636186805,0.0009997532801828658,0.0013616363608253226,0.0018536464755523122,112103,29178,0.0001749371274545805,0.00022380795325638154,10643,3583,0.0037218016457737577,0.0027376562083030447,439,544,0.001830076200845228,0.002921748632577586,22,449
2,0.013119571413278734,0.004250282183399263,0.0011961832975954689,0.0017076358833568242,0.0009990133642141358,0.001295469494498021,0.0018561012707341011,112103,29178,5.558974357708207e-05,0.00021573700195638235,10643,3583,0.003465241046117487,0.0026137464481186777,439,544,0.0017843813468723304,0.0028671602695715718,22,449
3,0.013048496904254055,0.004252542519368079,0.0011971219081233703,0.0017077463504227104,0.00099778098230154,0.001296730563135767,0.001855554909688777,112103,29178,5.7529796545549766e-05,0.000223112781282131,10643,3583,0.0033614635936240187,0.0026356385103152957,439,544,0.0017473158831390638,0.0028255872909635107,22,449
4,0.013163255471638206,0.004243125603823216,0.0011965677160789903,0.0017041823689952422,0.000996057350657239,0.0012964495877736226,0.0018579998886057876,112103,29178,5.6281116515901174e-05,0.00020600018395749772,10643,3583,0.0033088706438811517,0.0024432469611330066,439,544,0.001728913139562461,0.0027684319955203476,22,449
5,0.013104263838193998,0.00425151637045492,0.0011964549722894575,0.0017077066108399596,0.0009938441702975688,0.0012965433160862447,0.001859660957103251,112103,29178,5.555976619281613e-05,0.00020969687282397948,10643,3583,0.0032715511349573996,0.002548505476785495,439,544,0.0017135695141570811,0.0027683980281740625,22,449
6,0.013146679583757839,0.004253287376787322,0.0011958497453136165,0.0017098781326758783,0.0009911436253643444,0.0012960156783289273,0.0018620750868232774,112103,29178,5.523849627000547e-05,0.0002144796417959824,10643,3583,0.0032445728430256105,0.0025524463614120204,439,544,0.0017065372204259884,0.0027318222734471474,22,449
7,0.013167615455042806,0.004254940704789175,0.0011963723519745199,0.0017095899452136826,0.0009879583809693736,0.001296477512671132,0.0018623450853500845,112103,29178,5.5509985775987186e-05,0.00021156729481643812,10643,3583,0.0032663864569138132,0.0025197580552605145,439,544,0.001713328546347012,0.00275545670155162,22,449
8,0.01319130012765058,0.004245800000175044,0.0011950784178826658,0.0017059820056724761,0.0009842915805643154,0.001295337650892014,0.0018570641524559308,112103,29178,5.411848959402128e-05,0.00021455352289509463,10643,3583,0.0032287733152016555,0.002564753604340641,439,544,0.001698885901450095,0.002749059092095806,22,449
9,0.013089182840868041,0.004247732660742199,0.0011958121149910665,0.0017062369076026706,0.0009801468428384714,0.0012960219237126954,0.0018553158243518719,112103,29178,5.547714679487763e-05,0.0002163664875072247,10643,3583,0.003226650989898703,0.0026077417903305855,439,544,0.0017061216706431217,0.0028152845152767834,22,449
10,0.013066325492731519,0.004249535728695428,0.0011958445008507066,0.0017068944111246062,0.0009755282581475767,0.001295981718865119,0.001856622882984894,112103,29178,5.46950920985372e-05,0.000214515643504339,10643,3583,0.0032646319605378277,0.0026429495431811493,439,544,0.0017127860297808763,0.0027518873092591896,22,449
