epoch,train_loss,val_loss,train_mae,val_mae,lr,train_mae_bin_0,val_mae_bin_0,train_count_bin_0,val_count_bin_0,train_mae_bin_1,val_mae_bin_1,train_count_bin_1,val_count_bin_1,train_mae_bin_2,val_mae_bin_2,train_count_bin_2,val_count_bin_2,train_mae_bin_3,val_mae_bin_3,train_count_bin_3,val_count_bin_3
1,0.0008029672547350276,0.0010611457080669994,0.0022443623933911644,0.002753215688705946,0.0009997532801828658,0.002405786064295152,0.0030389336912518003,112103,29178,0.0005207239756971374,0.0004955471217844915,10643,3583,0.0028339400186743334,0.0023521258211557697,439,544,0.0017798892566299235,0.0026880476306418667,22,449
2,0.0008030198913432107,0.0010611576963153544,0.002244873436257894,0.002751128250695383,0.0009990133642141358,0.002406322139818183,0.0030370638807231524,112103,29178,0.0005211147273385591,0.0004917345968440426,10643,3583,0.002831055219188398,0.0023491218290634126,439,544,0.0017787814960518683,0.0026866941482558814,22,449
3,0.0008030941784381413,0.0010610134845660426,0.0022444268702090154,0.0027581002233133763,0.00099778098230154,0.0024059815712040304,0.0030430921209478527,112103,29178,0.0005196258881603534,0.0005054554300835788,10643,3583,0.002828899985242949,0.002362209834459731,439,544,0.0017765463059979745,0.002693728207795153,22,449
4,0.0008030283132296612,0.0010611908867740381,0.002244217176041684,0.0027628433624658937,0.000996057350657239,0.002405735037614135,0.003047686642261922,112103,29178,0.0005196889442670006,0.0005124696524139063,10643,3583,0.0028313146130771088,0.002364476991180495,439,544,0.0017797404460989956,0.0026930060324763137,22,449
5,0.0008030848215245532,0.0010608747064537645,0.0022454256240355855,0.0027538556528321346,0.0009938441702975688,0.0024069016792435285,0.003039006459146742,112103,29178,0.0005214249776687191,0.0004990497558273257,10643,3583,0.002830588080633086,0.0023598545385004185,439,544,0.0017773455143800345,0.0026941137660070756,22,449
6,0.000803058280411452,0.0010611897787746404,0.002244163181200563,0.002763079785988368,0.0009911436253643444,0.0024056811526302554,0.0030478963127340245,112103,29178,0.0005196719633919681,0.0005129079223586612,10643,3583,0.0028304148914283437,0.0023648584850461166,439,544,0.0017780912669629536,0.0026931945433661775,22,449
7,0.000803094913663421,0.0010610782586577747,0.0022451329803869083,0.0027578296981376235,0.0009879583809693736,0.002406601716677447,0.003042971725946026,112103,29178,0.0005211799206201946,0.0005043972084318094,10643,3583,0.002831026276788072,0.002360144801273504,439,544,0.001776745460863987,0.0026921621048802257,22,449
8,0.0008030852061287483,0.0010610719917367051,0.0022451318103282156,0.0027543920023416365,0.0009842915805643154,0.0024066117250201046,0.0030398600433853167,112103,29178,0.0005211265861800718,0.0004982892777045558,10643,3583,0.0028293171045895463,0.002355550052872037,439,544,0.0017791392376900396,0.0026902485294537184,22,449
9,0.0008030435078424317,0.0010615542758008537,0.002244477715174127,0.002761952137475114,0.0009801468428384714,0.0024059453754775736,0.0030475794973549423,112103,29178,0.0005205204082508608,0.0005076499080264376,10643,3583,0.0028305788510394176,0.002353676806224565,439,544,0.0017794859397161583,0.0026845164879127706,22,449
10,0.0008031348742911156,0.0010606662614719806,0.002245467554274461,0.00275156368640711,0.0009755282581475767,0.002406979317997936,0.0030365462990960324,112103,29178,0.0005211202916597884,0.0004967687181296855,10643,3583,0.002829923171506015,0.0023620641595163546,439,544,0.001777246631470255,0.002697210411493457,22,449
11,0.0008030509301474999,0.0010610323302886941,0.0022449703944689503,0.0027521640131476384,0.0009704403844771127,0.0024064409645673736,0.003037771595139108,112103,29178,0.0005209977026041801,0.0004946540353479612,10643,3583,0.0028305206169265034,0.0023536003264940947,439,544,0.001783587887819687,0.0026898453310795776,22,449
12,0.0008031134214005905,0.0010604109014862608,0.0022447486587392268,0.0027511151508710857,0.0009648882429441257,0.0024062934077113208,0.0030356607556537656,112103,29178,0.0005200696422006831,0.0004982034092490059,10643,3583,0.002828807753812021,0.002368004307808245,439,544,0.00177683008025104,0.002702391936644945,22,449
13,0.0008029793920121053,0.0010613916069099492,0.0022449294049938493,0.002754544440538588,0.0009588773128419905,0.002406358131959318,0.00304059069488136,112103,29178,0.0005213068113671491,0.0004957964295581032,10643,3583,0.0028326765864894986,0.002347691255101167,439,544,0.001783535167553716,0.0026836415238363173,22,449
14,0.0008030906876865859,0.0010615048124036491,0.0022446636645994025,0.0027596321282635163,0.0009524135262330098,0.002406190209426409,0.003045397468934763,112103,29178,0.0005201650429691714,0.0005039117195609499,10643,3583,0.0028290502855778036,0.0023516854185693186,439,544,0.0017756878356025977,0.0026841490749344396,22,449
15,0.0008030815452114849,0.0010611460041372988,0.002244887098195482,0.002755772064822315,0.0009455032620941839,0.0024063950932253215,0.003041244203906832,112103,29178,0.0005206025920454552,0.0005001162444087337,10643,3583,0.002828551848173186,0.002355540975900915,439,544,0.0017812751955881884,0.0026894789303182095,22,449
16,0.0008031007663346046,0.0010609051345404096,0.002245523085597138,0.0027486806696602776,0.0009381533400219318,0.0024069973637217885,0.0030343790469772453,112103,29178,0.0005215787037333944,0.0004895618808822393,10643,3583,0.0028296313198852927,0.00235229437085389,439,544,0.001780347562585534,0.0026906619526711364,22,449
17,0.0008030201341338796,0.001061618833060685,0.002244316172225277,0.002757172547310587,0.0009303710135019719,0.0024058154315411973,0.0030433888365002603,112103,29178,0.0005199482788923542,0.0004985240899348575,10643,3583,0.0028323944374162636,0.0023454388257746093,439,544,0.0017774656655753709,0.002680339012502429,22,449
18,0.0008031124561583893,0.0010608945120458182,0.002245124242114352,0.0027488921211063755,0.0009221639627510076,0.0024066324384236486,0.0030345513970703227,112103,29178,0.0005208182987088495,0.0004900281666225681,10643,3583,0.002829451445252253,0.0023528287129011005,439,544,0.0017776261586484245,0.0026909893747825665,22,449
19,0.0008031137967674133,0.001060800911064416,0.002244590056742992,0.00275454424124538,0.000913540287137281,0.002406149930778063,0.0030394889007882217,112103,29178,0.000519737502289452,0.0005009272930443265,10643,3583,0.0028289624579077915,0.002362700124435565,439,544,0.0017772715813903646,0.0026960974737570385,22,449
20,0.0008030743895606638,0.0010608084264056485,0.002244780117088867,0.002754459361487082,0.0009045084971874739,0.002406307267875311,0.0030394265785151755,112103,29178,0.0005202237217385986,0.000500709133842238,10643,3583,0.0028300147778675456,0.0023623881544849344,439,544,0.001783754253251986,0.0026958854786039463,22,449
21,0.0008030009490682271,0.0010613139584248754,0.0022452605501574047,0.0027487368731041943,0.0008950775061878453,0.0024066735382858606,0.003035170293751488,112103,29178,0.000521818358980548,0.0004862096800715209,10643,3583,0.0028327233284013878,0.0023422725772594705,439,544,0.0017824585202933204,0.0026823608702534027,22,449
