epoch,train_loss,val_loss,train_mae,val_mae,lr,train_mae_bin_0,val_mae_bin_0,train_count_bin_0,val_count_bin_0,train_mae_bin_1,val_mae_bin_1,train_count_bin_1,val_count_bin_1,train_mae_bin_2,val_mae_bin_2,train_count_bin_2,val_count_bin_2,train_mae_bin_3,val_mae_bin_3,train_count_bin_3,val_count_bin_3
1,0.0008030040560043522,0.001061151960695686,0.0022448199600931568,0.002758100187858334,0.0009997532801828658,0.002406267554975749,0.003043354500090749,112103,29178,0.0005210006849742911,0.0005042372109483332,10643,3583,0.002832689736581276,0.002358619584222598,439,544,0.001780016022332182,0.0026907464344145724,22,449
2,0.0008030609942237019,0.0010611209045365843,0.002245113169242486,0.0027529580665721057,0.0009990133642141358,0.0024065970879785805,0.003038654552581656,112103,29178,0.0005210251666089386,0.0004953025009459966,10643,3583,0.0028302856205998663,0.00235241193235304,439,544,0.0017790325575995005,0.0026884255246290385,22,449
3,0.0008031249941226601,0.0010605470801765657,0.0022446210996193714,0.002753573590364783,0.00099778098230154,0.0024061783356721243,0.0030381337238555924,112103,29178,0.0005198475323476421,0.0005014190468538169,10643,3583,0.002827706656395935,0.0023679083832950495,439,544,0.0017782395152607933,0.0027009590439714144,22,449
4,0.0008029635780806793,0.0010617102947734537,0.002244373289862264,0.0027608508535798704,0.000996057350657239,0.002405830400443703,0.0030468805706140704,112103,29178,0.0005204723021499431,0.0005043118956498542,10643,3583,0.002831579403538609,0.0023481173865387544,439,544,0.0017838389546589249,0.0026805190294815068,22,449
5,0.0008031895155346365,0.0010601293603951407,0.002245774493921571,0.0027496279786790798,0.0009938441702975688,0.0024073278668152627,0.0030337856000487566,112103,29178,0.0005211423041367262,0.0004980246656130611,10643,3583,0.002826640008368523,0.0023732239890651885,439,544,0.0017749721724116666,0.0027075508767054448,22,449
6,0.0008029665903364622,0.0010615105140840814,0.0022442286991128883,0.0027568097239951883,0.0009911436253643444,0.0024056642918227405,0.0030428606532926965,112103,29178,0.0005204521423958347,0.0004988082305016425,10643,3583,0.002834040114503876,0.0023476832549717717,439,544,0.0017811604457992044,0.0026824002181136263,22,449
7,0.000803151759522158,0.0010607885874279127,0.002245163183865797,0.002751690196483151,0.0009879583809693736,0.002406712838689517,0.0030368893115034,112103,29178,0.0005205051652023792,0.0004959288354731208,10643,3583,0.002827375715082418,0.002359123049673679,439,544,0.0017789083331908014,0.0026946962771642715,22,449
8,0.0008030354475654408,0.001061426043181402,0.002244566309548038,0.0027606905184550654,0.0009842915805643154,0.0024060483945769957,0.0030462027270079656,112103,29178,0.0005204679961858604,0.0005064996102621544,10643,3583,0.002830316381326639,0.0023551991719560805,439,544,0.0017812742153182626,0.002686476924006551,22,449
9,0.0008030958480016851,0.001061270071005664,0.002244955187016793,0.002758342819048327,0.0009801468428384714,0.002406430116918669,0.0030437950958382342,112103,29178,0.0005209614794689874,0.0005036435123341184,10643,3583,0.0028301148236106557,0.0023559152511605885,439,544,0.0017792944338659502,0.0026883687035809114,22,449
10,0.0008031097538231332,0.0010607767427000525,0.0022455257299721135,0.0027503936306278276,0.0009755282581475767,0.0024070103252666225,0.003035694373079568,112103,29178,0.000521489328216307,0.0004937171118008766,10643,3583,0.0028292268694228343,0.0023577173124067485,439,544,0.0017803937053858217,0.002694230584763737,22,449
11,0.0008030567710659039,0.0010609080441293384,0.0022449731387097467,0.0027489761198413536,0.0009704403844771127,0.0024064239452191026,0.0030346525394025405,112103,29178,0.0005211631964539085,0.0004900606076705898,10643,3583,0.0028319023695075884,0.0023525978715898577,439,544,0.0017780210764613003,0.002690752159248216,22,449
12,0.0008030972047702125,0.0010608278029347793,0.002244705963139555,0.0027511082065664245,0.0009648882429441257,0.0024062274575939817,0.0030364360964754713,112103,29178,0.0005202373969115308,0.0004945474423292921,10643,3583,0.002829743680029212,0.002357365452232497,439,544,0.0017739303531760181,0.0026935494726809998,22,449
13,0.0008030377699066988,0.0010613198438696903,0.0022443538711909333,0.0027569531433398182,0.0009588773128419905,0.002405844308537122,0.003042635294224136,112103,29178,0.0005201011635724828,0.0005007174285557594,10643,3583,0.0028318712443862735,0.0023527202001252375,439,544,0.001777944664354436,0.002686488738735694,22,449
14,0.0008030925822803506,0.0010613886369189754,0.0022447058295567836,0.0027598564103239113,0.0009524135262330098,0.002406242500468604,0.003045381396091538,112103,29178,0.0005200808890601908,0.0005053271228700207,10643,3583,0.002829468895385258,0.002354985721039531,439,544,0.0017777381025635723,0.002686760740931289,22,449
15,0.0008030366849014215,0.0010618497092020032,0.002244951443615114,0.002759772952657716,0.0009455032620941839,0.002406422336786643,0.003046166319554399,112103,29178,0.0005209978755823302,0.0005011813366114251,10643,3583,0.002830141353542102,0.0023430970699444193,439,544,0.0017798590997699648,0.0026769662412808575,22,449
16,0.0008030375282671545,0.0010620471728517444,0.0022450151238648077,0.002756792653813131,0.0009381533400219318,0.0024064508032244423,0.0030438231408989086,112103,29178,0.0005213413059257526,0.0004942328914600453,10643,3583,0.0028324771445689526,0.0023342846149770435,439,544,0.001778678928861733,0.002671314702101699,22,449
17,0.0008031523498753483,0.0010601842814132666,0.002245153939056623,0.0027467853746382946,0.0009303710135019719,0.0024067353936801663,0.0030313230632091656,112103,29178,0.0005202295201579359,0.0004924524030207593,10643,3583,0.002825981623272768,0.0023679645057521105,439,544,0.0017733885668514465,0.002704720603994909,22,449
