split,speed_bin,sample_count,mae_lqr_to_opt,mae_pred_to_opt,improvement_abs,improvement_ratio_mean,comp_to_residual_ratio_mean
train,"[-inf,1.500)",112103,0.0025809294591956585,0.0012907910924267732,0.001290138366768885,-26.477463120948855,28.312943977138744
train,"[1.500,2.500)",10643,0.0006919400351473834,5.03837882564662e-05,0.0006415562468909173,-0.24221603495728786,2.1428136312926953
train,"[2.500,3.500)",439,0.0024116279143280867,0.0030106906594130523,-0.0005990627450849658,-1.6701000852865853,1.8295645497812456
train,"[3.500,+inf)",22,0.0015884532929545455,0.00163118090065,-4.2727607695454565e-05,-0.42925539065829954,0.525563752228948
val,"[-inf,1.500)",29178,0.0032256534854144723,0.0018557845205870829,0.00136986896482739,-0.0745126659831939,1.8882231558950053
val,"[1.500,2.500)",3583,0.0006290184333191656,0.0002155302636250935,0.00041348816969407205,0.1832411273852055,1.652465922065049
val,"[2.500,3.500)",544,0.002062444025083125,0.0024922484311172798,-0.0004298044060341544,-1.4678695918371263,1.6744462137705338
val,"[3.500,+inf)",449,0.00235872221289196,0.0026112784650599995,-0.00025255625216804006,-0.4671929271292873,0.6728671974314402
