epoch,train_loss,val_loss,train_mae,val_mae,lr,train_mae_bin_0,val_mae_bin_0,train_count_bin_0,val_count_bin_0,train_mae_bin_1,val_mae_bin_1,train_count_bin_1,val_count_bin_1,train_mae_bin_2,val_mae_bin_2,train_count_bin_2,val_count_bin_2,train_mae_bin_3,val_mae_bin_3,train_count_bin_3,val_count_bin_3,train_mae_bin_4,val_mae_bin_4,train_count_bin_4,val_count_bin_4,train_mae_bin_5,val_mae_bin_5,train_count_bin_5,val_count_bin_5,train_mae_bin_6,val_mae_bin_6,train_count_bin_6,val_count_bin_6,train_mae_bin_7,val_mae_bin_7,train_count_bin_7,val_count_bin_7
23,0.01158583095781781,0.003694328353938727,0.0011845851139587952,0.0015011092282535318,0.0008750555348152299,,,0,0,0.0019016844844034736,0.0024285010346716176,75995,19321,4.2064117860706955e-05,3.7089530500236435e-05,47698,12239,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0
24,0.011498435669719583,0.0037029640916342458,0.0011843918208649345,0.0015041578576357236,0.0008644843137107058,,,0,0,0.0019013721622610808,0.002431469927446621,75995,19321,4.206046725842306e-05,4.026403483080995e-05,47698,12239,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0
25,0.011489249841188673,0.0036964771736592364,0.0011848172788168868,0.0015016412196778434,0.0008535533905932738,,,0,0,0.00190188612563798,0.0024291554805528515,75995,19321,4.2344909419735745e-05,3.7428205257278006e-05,47698,12239,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0
26,0.011591478443769796,0.0037001672559326304,0.001184845575403043,0.0015021956431008011,0.0008422735529643445,,,0,0,0.00190179904608072,0.0024307874243438316,75995,19321,4.255703867438555e-05,3.6281613740691536e-05,47698,12239,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0
27,0.011583651972605843,0.003697480438405492,0.0011845992735208932,0.0015014675546104264,0.000830655932661826,,,0,0,0.0019018213352976253,0.0024295905697356906,75995,19321,4.188279754188079e-05,3.6293540475669366e-05,47698,12239,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0
28,0.011479094471105953,0.0036965594075244516,0.0011844113827462386,0.001501279780162774,0.000818711994874345,,,0,0,0.0019015170738914404,0.002429240284927201,75995,19321,4.1880309913664e-05,3.636231262491218e-05,47698,12239,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0
29,0.011512373739056494,0.003696367532528756,0.0011845478517109995,0.0015018910373577241,0.0008064535268264884,,,0,0,0.0019016440754967394,0.0024301429716516443,75995,19321,4.203185536434163e-05,3.651350649385023e-05,47698,12239,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0
30,0.011472095108629713,0.0036978268057107334,0.001184399693914949,0.00150248196598081,0.0007938926261462368,,,0,0,0.0019014684915127555,0.0024291432227292464,75995,19321,4.192740009317329e-05,3.9615538246435486e-05,47698,12239,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0
31,0.011538906429304415,0.0036967571488342866,0.0011845590473896193,0.0015014609812373542,0.0007810416889260655,,,0,0,0.0019017042068796767,0.002429577035720945,75995,19321,4.196509462899867e-05,3.6297952320548607e-05,47698,12239,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0
32,0.011618042928846094,0.003693833914330154,0.0011845393211124846,0.0015008586026564817,0.0007679133974894984,,,0,0,0.0019015933701457576,0.0024281851185028545,75995,19321,4.209052910206735e-05,3.694197427481337e-05,47698,12239,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0
