epoch,train_loss,val_loss,train_mae,val_mae,lr,train_mae_bin_0,val_mae_bin_0,train_count_bin_0,val_count_bin_0,train_mae_bin_1,val_mae_bin_1,train_count_bin_1,val_count_bin_1,train_mae_bin_2,val_mae_bin_2,train_count_bin_2,val_count_bin_2,train_mae_bin_3,val_mae_bin_3,train_count_bin_3,val_count_bin_3
1,0.013115710391831244,0.004201851660179785,0.0011940080444641922,0.0017092698445555401,0.0009997532801828658,0.0012943037117061705,0.0018573427195716509,112103,29178,5.244069855057144e-05,0.0002271810150549321,10643,3583,0.00323314276581698,0.002684008884791504,439,544,0.001697461717412807,0.0027328687066622993,22,449
2,0.013076552119794733,0.004194869819650871,0.0011939652962944611,0.0017041723505814596,0.0009990133642141358,0.0012943231866271467,0.001853987449829744,112103,29178,5.174114522297101e-05,0.0002140492195198003,10643,3583,0.0032327495931551192,0.0026120128082659315,439,544,0.0017050976761807265,0.0027597203585246624,22,449
3,0.01301695852877448,0.0041955494764146445,0.0011935663628613816,0.0017048501675647918,0.00099778098230154,0.0012938453940611922,0.0018539687569385697,112103,29178,5.1787534128246126e-05,0.0002182940242672911,10643,3583,0.0032415831688810607,0.0026039509239661343,439,544,0.0017068910277554426,0.0027877847707616726,22,449
4,0.013035280637155353,0.004194327899736854,0.0011934955527590487,0.0017052602757874828,0.000996057350657239,0.0012937973054376005,0.001858661229186962,112103,29178,5.1640309494454425e-05,0.0002075265589201804,10643,3583,0.0032379575418987248,0.002492477631141596,439,544,0.001698907143277624,0.0027346604634366748,22,449
5,0.013104382627340004,0.004198803788307555,0.001193563156186049,0.0017079547862812014,0.0009938441702975688,0.0012938409363979222,0.001858495336152419,112103,29178,5.224961856311402e-05,0.00021667333548584968,10643,3583,0.003230778882765277,0.002622865263701362,439,544,0.0017036859684263948,0.002717037160439056,22,449
6,0.013079751852965013,0.004205910577152372,0.001193441209819751,0.0017122648544871113,0.0009911436253643444,0.0012937802708507277,0.0018601333282458543,112103,29178,5.247078894803545e-05,0.00022740745403685748,10643,3583,0.003207140847730847,0.0026881022666416622,439,544,0.0016945297313875265,0.002769908820069447,22,449
7,0.013177603495158422,0.00419076968252158,0.0011933757088726721,0.0017035378363350598,0.0009879583809693736,0.0012935331342236653,0.0018557456733169525,112103,29178,5.220123484233546e-05,0.0002108481134481952,10643,3583,0.003258039622929834,0.0024932898676899426,439,544,0.0017017713332527571,0.002767150031033497,22,449
8,0.013030366213963817,0.004197958795616276,0.0011929694010509515,0.001707136486099823,0.0009842915805643154,0.0012932952684062738,0.001856043337468905,112103,29178,5.152364072568817e-05,0.0002200580372844283,10643,3583,0.003221347718884116,0.00265316096791888,439,544,0.0016983512508555907,0.0027511468144726914,22,449
9,0.013120466611930757,0.004201431433377643,0.0011931224689573803,0.0017094036472682411,0.0009801468428384714,0.0012934265649029494,0.0018583260664471394,112103,29178,5.2005347242811695e-05,0.00022564765114303805,10643,3583,0.003219092616006299,0.0026451459716019384,439,544,0.0016985092780404639,0.0027383470737721714,22,449
10,0.013109086366898578,0.004195310805183875,0.0011934769776395918,0.001705404684739949,0.0009755282581475767,0.0012937912849666805,0.001854617380686907,112103,29178,5.169025230894139e-05,0.00021927991272865577,10643,3583,0.003233302550619481,0.0026257033528321806,439,544,0.0016942878335777839,0.0027530985015272297,22,449
